Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
Od <case dons	Od	dons																												1	3.7	AB	"pattern {B [form=""dons""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dons%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dons	10.38	10.38	0.03	8.87	1.00	4.25
Od <case kod	Od	kod																												1	3.7	AB	"pattern {B [form=""kod""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22kod%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	kod	10.38	10.38	0.03	8.87	1.00	4.25
Od <case spodaj	Od	spodaj																												1	3.7	AB	"pattern {B [form=""spodaj""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22spodaj%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	spodaj	8.05	8.05	0.02	8.64	1.00	2.86
Od <case takrat >advmod dalje	Od	takrat	dalje																											1	3.7	ABC	"pattern {B [form=""takrat""]; A [form=""Od""]; C [form=""dalje""]; B -[case]-> A; B -[advmod]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22takrat%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20C%20%5Bform%3D%22dalje%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Badvmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	takrat	19.61	19.61	0.02	8.27	1.00	9.81
Od <case tam	Od	tam																												1	3.7	AB	"pattern {B [form=""tam""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tam%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tam	5.81	5.81	0.01	7.89	0.98	1.53
Od <case tedaj >advmod dalje	Od	tedaj	dalje																											1	3.7	ABC	"pattern {B [form=""tedaj""]; A [form=""Od""]; C [form=""dalje""]; B -[case]-> A; B -[advmod]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tedaj%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20C%20%5Bform%3D%22dalje%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Badvmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	tedaj	20.96	20.96	0.03	8.75	1.00	10.62
Od <case tod	Od	tod																												1	3.7	AB	"pattern {B [form=""tod""]; A [form=""Od""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22tod%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	tod	9.64	9.64	0.03	8.83	1.00	3.81
Od <case včeraj >advmod opoldne	Od	včeraj	opoldne																											1	3.7	ABC	"pattern {B [form=""včeraj""]; A [form=""Od""]; C [form=""opoldne""]; B -[case]-> A; B -[advmod]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22v%C4%8Deraj%22%5D%3B%20A%20%5Bform%3D%22Od%22%5D%3B%20C%20%5Bform%3D%22opoldne%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Badvmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	včeraj	23.99	23.99	0.03	8.93	1.00	12.44
POSEBEJ <advmod PODROBNO	POSEBEJ	PODROBNO																												1	3.7	AB	"pattern {B [form=""PODROBNO""]; A [form=""POSEBEJ""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22PODROBNO%22%5D%3B%20A%20%5Bform%3D%22POSEBEJ%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	PODROBNO	16.03	16.03	0.40	12.68	1.00	7.65
PRAV <advmod TAKO	PRAV	TAKO																												1	3.7	AB	"pattern {B [form=""TAKO""]; A [form=""PRAV""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22TAKO%22%5D%3B%20A%20%5Bform%3D%22PRAV%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	TAKO	13.86	13.86	0.22	11.83	1.00	6.34
Pa >fixed vendar	Pa	vendar																												1	3.7	AB	"pattern {A [form=""Pa""]; B [form=""vendar""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Pa%22%5D%3B%20B%20%5Bform%3D%22vendar%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Pa	5.21	5.21	0.01	7.06	0.97	1.19
Petkrat <advmod bolj >obl (kot <case v <case razvitem <amod svetu)	Petkrat	bolj	kot	v	razvitem	svetu																								1	3.7	ABCDEF	"pattern {B [form=""bolj""]; A [form=""Petkrat""]; F [form=""svetu""]; C [form=""kot""]; D [form=""v""]; E [form=""razvitem""]; B -[advmod]-> A; B -[obl]-> F; F -[case]-> C; F -[case]-> D; F -[amod]-> E; B >> A; B << F; F >> C; F >> D; F >> E} without {B -> X0} without {A -> X1} without {F -> X2} without {C -> X3} without {D -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bolj%22%5D%3B%20A%20%5Bform%3D%22Petkrat%22%5D%3B%20F%20%5Bform%3D%22svetu%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22v%22%5D%3B%20E%20%5Bform%3D%22razvitem%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20C%3B%20F%20-%5Bcase%5D-%3E%20D%3B%20F%20-%5Bamod%5D-%3E%20E%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20F%3B%20F%20%3E%3E%20C%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BF%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	bolj	50.55	50.55	0.00	3.85	1.00	28.43
Po <case domače	Po	domače																												1	3.7	AB	"pattern {B [form=""domače""]; A [form=""Po""]; B -[case]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22doma%C4%8De%22%5D%3B%20A%20%5Bform%3D%22Po%22%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	domače	6.31	6.31	0.01	7.32	0.99	1.82
Po >fixed navadi	Po	navadi																												1	3.7	AB	"pattern {A [form=""Po""]; B [form=""navadi""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Po%22%5D%3B%20B%20%5Bform%3D%22navadi%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Po	6.67	6.67	0.01	7.35	0.99	2.04
Podobno >nmod (kot <case sumatranski <amod nosorog)	Podobno	kot	sumatranski	nosorog																										1	3.7	ABCD	"pattern {A [form=""Podobno""]; D [form=""nosorog""]; B [form=""kot""]; C [form=""sumatranski""]; A -[nmod]-> D; D -[case]-> B; D -[amod]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20D%20%5Bform%3D%22nosorog%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22sumatranski%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	Podobno	40.00	40.00	0.00	5.89	1.00	22.08
Podobno >nmod (kot <case v <case drugih <amod germanskih <amod plemenih)	Podobno	kot	v	drugih	germanskih	plemenih																								1	3.7	ABCDEF	"pattern {A [form=""Podobno""]; F [form=""plemenih""]; B [form=""kot""]; C [form=""v""]; D [form=""drugih""]; E [form=""germanskih""]; A -[nmod]-> F; F -[case]-> B; F -[case]-> C; F -[amod]-> D; F -[amod]-> E; A << F; F >> B; F >> C; F >> D; F >> E} without {A -> X0} without {F -> X1} without {B -> X2} without {C -> X3} without {D -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20F%20%5Bform%3D%22plemenih%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22v%22%5D%3B%20D%20%5Bform%3D%22drugih%22%5D%3B%20E%20%5Bform%3D%22germanskih%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20B%3B%20F%20-%5Bcase%5D-%3E%20C%3B%20F%20-%5Bamod%5D-%3E%20D%3B%20F%20-%5Bamod%5D-%3E%20E%3B%20A%20%3C%3C%20F%3B%20F%20%3E%3E%20B%3B%20F%20%3E%3E%20C%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BF%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	Podobno	57.00	57.00	0.00	3.90	1.00	32.32
Podobno >obl (kot <case Kraljevske <amod kronike)	Podobno	kot	Kraljevske	kronike																										1	3.7	ABCD	"pattern {A [form=""Podobno""]; D [form=""kronike""]; B [form=""kot""]; C [form=""Kraljevske""]; A -[obl]-> D; D -[case]-> B; D -[amod]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20D%20%5Bform%3D%22kronike%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22Kraljevske%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	Podobno	37.00	37.00	0.00	5.89	1.00	20.28
Podobno >obl (kot <case akupunktura)	Podobno	kot	akupunktura																											1	3.7	ABC	"pattern {A [form=""Podobno""]; C [form=""akupunktura""]; B [form=""kot""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20C%20%5Bform%3D%22akupunktura%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Podobno	21.97	21.97	0.00	5.48	1.00	11.23
Podobno >obl (kot <case pri <case dilemi >nmod zapornika)	Podobno	kot	pri	dilemi	zapornika																									1	3.7	ABCDE	"pattern {A [form=""Podobno""]; D [form=""dilemi""]; B [form=""kot""]; C [form=""pri""]; E [form=""zapornika""]; A -[obl]-> D; D -[case]-> B; D -[case]-> C; D -[nmod]-> E; A << D; D >> B; D >> C; D << E} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {E -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20D%20%5Bform%3D%22dilemi%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22pri%22%5D%3B%20E%20%5Bform%3D%22zapornika%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20E%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D	5	Podobno	48.61	48.61	0.00	5.52	1.00	27.26
Podobno >obl (kot <case pri <case nas >nmod (v <case soboto))	Podobno	kot	pri	nas	v	soboto																								1	3.7	ABCDEF	"pattern {A [form=""Podobno""]; D [form=""nas""]; B [form=""kot""]; C [form=""pri""]; F [form=""soboto""]; E [form=""v""]; A -[obl]-> D; D -[case]-> B; D -[case]-> C; D -[nmod]-> F; F -[case]-> E; A << D; D >> B; D >> C; D << F; F >> E} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {F -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20D%20%5Bform%3D%22nas%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22pri%22%5D%3B%20F%20%5Bform%3D%22soboto%22%5D%3B%20E%20%5Bform%3D%22v%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20E%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20F%3B%20F%20%3E%3E%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	Podobno	42.26	42.26	0.00	3.74	1.00	23.44
Podobno >obl (kot <case pri <case vzorčenju >nmod paše)	Podobno	kot	pri	vzorčenju	paše																									1	3.7	ABCDE	"pattern {A [form=""Podobno""]; D [form=""vzorčenju""]; B [form=""kot""]; C [form=""pri""]; E [form=""paše""]; A -[obl]-> D; D -[case]-> B; D -[case]-> C; D -[nmod]-> E; A << D; D >> B; D >> C; D << E} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {E -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20D%20%5Bform%3D%22vzor%C4%8Denju%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20C%20%5Bform%3D%22pri%22%5D%3B%20E%20%5Bform%3D%22pa%C5%A1e%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20E%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BE%20-%3E%20X4%7D	5	Podobno	47.61	47.61	0.00	5.52	1.00	26.66
Podobno >obl (kot <case zakon >nmod (o <case zunanjih <amod zadevah))	Podobno	kot	zakon	o	zunanjih	zadevah																								1	3.7	ABCDEF	"pattern {A [form=""Podobno""]; C [form=""zakon""]; B [form=""kot""]; F [form=""zadevah""]; D [form=""o""]; E [form=""zunanjih""]; A -[obl]-> C; C -[case]-> B; C -[nmod]-> F; F -[case]-> D; F -[amod]-> E; A << C; C >> B; C << F; F >> D; F >> E} without {A -> X0} without {C -> X1} without {B -> X2} without {F -> X3} without {D -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Podobno%22%5D%3B%20C%20%5Bform%3D%22zakon%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20F%20%5Bform%3D%22zadevah%22%5D%3B%20D%20%5Bform%3D%22o%22%5D%3B%20E%20%5Bform%3D%22zunanjih%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20F%3B%20F%20-%5Bcase%5D-%3E%20D%3B%20F%20-%5Bamod%5D-%3E%20E%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20F%3B%20F%20%3E%3E%20D%3B%20F%20%3E%3E%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BF%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	Podobno	56.69	56.69	0.00	5.72	1.00	32.13
Posebej <advmod zagnano	Posebej	zagnano																												1	3.7	AB	"pattern {B [form=""zagnano""]; A [form=""Posebej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zagnano%22%5D%3B%20A%20%5Bform%3D%22Posebej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zagnano	16.03	16.03	0.40	12.68	1.00	7.65
Povsem <advmod jasno	Povsem	jasno																												1	3.7	AB	"pattern {B [form=""jasno""]; A [form=""Povsem""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22jasno%22%5D%3B%20A%20%5Bform%3D%22Povsem%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	jasno	10.17	10.17	0.03	9.05	1.00	4.12
Pozneje >advmod zvečer	Pozneje	zvečer																												1	3.7	AB	"pattern {A [form=""Pozneje""]; B [form=""zvečer""]; A -[advmod]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Pozneje%22%5D%3B%20B%20%5Bform%3D%22zve%C4%8Der%22%5D%3B%20A%20-%5Badvmod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	Pozneje	11.22	11.22	0.09	10.54	1.00	4.76
Pozneje >appos (v <case 60. <nummod letih >nmod (prejšnjega <amod stoletja))	Pozneje	v	60.	letih	prejšnjega	stoletja																								1	3.7	ABCDEF	"pattern {A [form=""Pozneje""]; D [form=""letih""]; B [form=""v""]; C [form=""60.""]; F [form=""stoletja""]; E [form=""prejšnjega""]; A -[appos]-> D; D -[case]-> B; D -[nummod]-> C; D -[nmod]-> F; F -[amod]-> E; A << D; D >> B; D >> C; D << F; F >> E} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3} without {F -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22Pozneje%22%5D%3B%20D%20%5Bform%3D%22letih%22%5D%3B%20B%20%5Bform%3D%22v%22%5D%3B%20C%20%5Bform%3D%2260.%22%5D%3B%20F%20%5Bform%3D%22stoletja%22%5D%3B%20E%20%5Bform%3D%22prej%C5%A1njega%22%5D%3B%20A%20-%5Bappos%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20D%20-%5Bnmod%5D-%3E%20F%3B%20F%20-%5Bamod%5D-%3E%20E%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20F%3B%20F%20%3E%3E%20E%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BF%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	Pozneje	56.71	56.71	0.00	4.14	1.00	32.14
Prav <advmod dobro	Prav	dobro																												1	3.7	AB	"pattern {B [form=""dobro""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobro%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	dobro	5.33	5.33	0.01	7.51	0.98	1.26
Prav <advmod gotovo	Prav	gotovo																												1	3.7	AB	"pattern {B [form=""gotovo""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22gotovo%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	gotovo	7.37	7.37	0.02	8.62	0.99	2.45
Prav <advmod nasprotno	Prav	nasprotno																												1	3.7	AB	"pattern {B [form=""nasprotno""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nasprotno%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nasprotno	9.16	9.16	0.03	9.07	1.00	3.52
Prav <advmod nič	Prav	nič																												1	3.7	AB	"pattern {B [form=""nič""]; A [form=""Prav""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ni%C4%8D%22%5D%3B%20A%20%5Bform%3D%22Prav%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nič	5.67	5.67	0.01	7.74	0.98	1.45
